date_id,date,day,week,month,year,season
1,2025-10-01 13:18:00,1,40,10,2025,Fall
2,2025-10-02 02:07:00,2,40,10,2025,Fall
3,2025-10-02 19:44:00,2,40,10,2025,Fall
4,2025-10-02 21:09:00,2,40,10,2025,Fall
5,2025-10-02 23:34:00,2,40,10,2025,Fall
6,2025-10-03 02:07:00,3,40,10,2025,Fall
7,2025-10-03 08:35:00,3,40,10,2025,Fall
8,2025-10-03 15:04:00,3,40,10,2025,Fall
9,2025-10-03 23:01:00,3,40,10,2025,Fall
10,2025-10-04 04:56:00,4,40,10,2025,Fall
11,2025-10-04 05:01:00,4,40,10,2025,Fall
12,2025-10-04 09:50:00,4,40,10,2025,Fall
13,2025-10-04 10:08:00,4,40,10,2025,Fall
14,2025-10-04 12:27:00,4,40,10,2025,Fall
15,2025-10-04 16:15:00,4,40,10,2025,Fall
16,2025-10-05 13:49:00,5,40,10,2025,Fall
17,2025-10-05 14:01:00,5,40,10,2025,Fall
18,2025-10-05 14:56:00,5,40,10,2025,Fall
19,2025-10-05 15:35:00,5,40,10,2025,Fall
20,2025-10-06 00:48:00,6,41,10,2025,Fall
21,2025-10-06 07:47:00,6,41,10,2025,Fall
22,2025-10-06 10:11:00,6,41,10,2025,Fall
23,2025-10-06 18:11:00,6,41,10,2025,Fall
24,2025-10-06 18:27:00,6,41,10,2025,Fall
25,2025-10-07 05:20:00,7,41,10,2025,Fall
26,2025-10-07 14:30:00,7,41,10,2025,Fall
27,2025-10-08 02:31:00,8,41,10,2025,Fall
28,2025-10-08 09:57:00,8,41,10,2025,Fall
29,2025-10-08 10:38:00,8,41,10,2025,Fall
30,2025-10-08 11:03:00,8,41,10,2025,Fall
31,2025-10-08 16:23:00,8,41,10,2025,Fall
32,2025-10-08 16:45:00,8,41,10,2025,Fall
33,2025-10-09 04:35:00,9,41,10,2025,Fall
34,2025-10-09 06:08:00,9,41,10,2025,Fall
35,2025-10-09 15:28:00,9,41,10,2025,Fall
36,2025-10-09 18:03:00,9,41,10,2025,Fall
37,2025-10-09 20:28:00,9,41,10,2025,Fall
38,2025-10-10 01:36:00,10,41,10,2025,Fall
39,2025-10-10 05:21:00,10,41,10,2025,Fall
40,2025-10-10 11:44:00,10,41,10,2025,Fall
41,2025-10-10 14:12:00,10,41,10,2025,Fall
42,2025-10-11 06:45:00,11,41,10,2025,Fall
43,2025-10-11 08:26:00,11,41,10,2025,Fall
44,2025-10-11 13:03:00,11,41,10,2025,Fall
45,2025-10-11 14:45:00,11,41,10,2025,Fall
46,2025-10-12 14:20:00,12,41,10,2025,Fall
47,2025-10-12 18:55:00,12,41,10,2025,Fall
48,2025-10-13 01:44:00,13,42,10,2025,Fall
49,2025-10-13 04:16:00,13,42,10,2025,Fall
50,2025-10-14 01:49:00,14,42,10,2025,Fall
51,2025-10-14 07:12:00,14,42,10,2025,Fall
52,2025-10-14 18:53:00,14,42,10,2025,Fall
53,2025-10-15 21:05:00,15,42,10,2025,Fall
54,2025-10-16 22:17:00,16,42,10,2025,Fall
55,2025-10-17 07:07:00,17,42,10,2025,Fall
56,2025-10-17 09:59:00,17,42,10,2025,Fall
57,2025-10-17 16:02:00,17,42,10,2025,Fall
58,2025-10-18 15:56:00,18,42,10,2025,Fall
59,2025-10-18 18:18:00,18,42,10,2025,Fall
60,2025-10-19 10:25:00,19,42,10,2025,Fall
61,2025-10-19 18:41:00,19,42,10,2025,Fall
62,2025-10-19 21:18:00,19,42,10,2025,Fall
63,2025-10-20 01:46:00,20,43,10,2025,Fall
64,2025-10-20 06:04:00,20,43,10,2025,Fall
65,2025-10-20 07:23:00,20,43,10,2025,Fall
66,2025-10-20 17:26:00,20,43,10,2025,Fall
67,2025-10-20 22:33:00,20,43,10,2025,Fall
68,2025-10-21 06:43:00,21,43,10,2025,Fall
69,2025-10-21 08:33:00,21,43,10,2025,Fall
70,2025-10-21 13:16:00,21,43,10,2025,Fall
71,2025-10-21 13:37:00,21,43,10,2025,Fall
72,2025-10-21 18:29:00,21,43,10,2025,Fall
73,2025-10-21 20:51:00,21,43,10,2025,Fall
74,2025-10-21 22:50:00,21,43,10,2025,Fall
75,2025-10-22 11:15:00,22,43,10,2025,Fall
76,2025-10-22 14:15:00,22,43,10,2025,Fall
77,2025-10-23 12:37:00,23,43,10,2025,Fall
78,2025-10-23 16:25:00,23,43,10,2025,Fall
79,2025-10-24 11:30:00,24,43,10,2025,Fall
80,2025-10-25 06:55:00,25,43,10,2025,Fall
81,2025-10-25 12:38:00,25,43,10,2025,Fall
82,2025-10-25 22:58:00,25,43,10,2025,Fall
83,2025-10-26 01:32:00,26,43,10,2025,Fall
84,2025-10-26 07:06:00,26,43,10,2025,Fall
85,2025-10-26 07:23:00,26,43,10,2025,Fall
86,2025-10-26 12:02:00,26,43,10,2025,Fall
87,2025-10-26 12:11:00,26,43,10,2025,Fall
88,2025-10-26 18:56:00,26,43,10,2025,Fall
89,2025-10-28 16:23:00,28,44,10,2025,Fall
90,2025-10-28 19:52:00,28,44,10,2025,Fall
91,2025-10-29 00:46:00,29,44,10,2025,Fall
92,2025-10-29 01:06:00,29,44,10,2025,Fall
93,2025-10-29 02:57:00,29,44,10,2025,Fall
94,2025-10-29 05:55:00,29,44,10,2025,Fall
95,2025-10-29 15:21:00,29,44,10,2025,Fall
96,2025-10-29 19:35:00,29,44,10,2025,Fall
97,2025-10-30 20:07:00,30,44,10,2025,Fall
98,2025-10-31 02:58:00,31,44,10,2025,Fall
99,2025-10-31 03:05:00,31,44,10,2025,Fall
100,2025-10-31 07:25:00,31,44,10,2025,Fall
